Type, X(um), Y(um), marker, name
,30449.557016,36946.084931, MarkE,R3_H4_5
HPK5,-33136.678312,-33799.288649, MarkH,R3_H5_0
,-33074.037976,32543.887532, MarkH,R3_H5_1
,-34726.372638,-33752.864759, MarkH,R3_H5_2
,-34660.560643,32433.941205, MarkH,R3_H5_3
,31308.565266,-35681.284964, MarkH,R3_H5_4
,31242.790573,37001.056170, MarkH,R3_H5_5
,29718.933791,-35634.862910, MarkH,R3_H5_6
,29656.323164,36891.113672, MarkH,R3_H5_7
Type 1,-1010.579884,-40511.618718, MarkE,R4_T1_0
,-1012.549382,40551.051039, MarkE,R4_T1_1
Type 2,53957.000000,0.000000, MarkKh,R4_T2h_0
,53838.742946,-14314.946229, MarkKh,R4_T2h_1
,53838.742946,14314.946229, MarkKh,R4_T2h_2
,-55934.000000,0.000000, MarkKh,R4_T2h_3
,-56080.953530,14911.117725, MarkKh,R4_T2h_4
,-56080.953530,-14911.117725, MarkKh,R4_T2h_5
Type 2,46276.027164,-41900.518615, MarkKv,R4_T2v_0
,46180.716747,43829.447159, MarkKv,R4_T2v_1
,-41666.593658,37726.918022, MarkKv,R4_T2v_2
,-41433.894462,-39324.307110, MarkKv,R4_T2v_3
Type 3,53508.483526,-27875.585731, MarkI,R4_T3_0
,53004.095175,-40625.277146, MarkI,R4_T3_1
,53292.138654,33936.982659, MarkI,R4_T3_2
,-56325.632687,-24340.222016, MarkI,R4_T3_3
,-56766.051216,-35472.914355, MarkI,R4_T3_4
,-56514.539291,29632.873026, MarkI,R4_T3_5
Type 4,52897.409202,-42072.491820, MarkF,R4_T4_0
,52787.989159,44265.883338, MarkF,R4_T4_1
,-56894.459312,-38847.690456, MarkF,R4_T4_2
,-56784.876191,36654.135177, MarkF,R4_T4_3
HPK1,52563.899507,-42085.173179, MarkM,R4_H1_0
,52455.085125,44265.278988, MarkM,R4_H1_1
,-56563.176181,-38879.898077, MarkM,R4_H1_2
,-56454.192418,36699.628583, MarkM,R4_H1_3
HPK2,52733.856118,-42090.197650, MarkE,R4_H2_0
,52624.702918,44277.094482, MarkE,R4_H2_1
,-56733.145795,-38874.938252, MarkE,R4_H2_2
,-56623.822175,36687.877414, MarkE,R4_H2_3
HPK3,51889.063810,-42065.384452, MarkG,R4_H3_0
,51781.594344,44218.525875, MarkG,R4_H3_1
,-55888.305315,-38899.752865, MarkG,R4_H3_2
,-55780.670500,36746.449015, MarkG,R4_H3_3
HPK4,-1998.362128,-40482.605627, MarkE,R4_H4_0
,-1998.360312,40482.569262, MarkE,R4_H4_1
HPK5,-1203.537307,-40505.951182, MarkH,R4_H5_0
,-1205.121724,40537.673528, MarkH,R4_H5_1
,-2793.187278,-40459.260062, MarkH,R4_H5_2
,-2791.599193,40427.464975, MarkH,R4_H5_3
Type 1,-1146.104303,-45878.222112, MarkE,R5_T1_0
,-1148.348617,45923.091697, MarkE,R5_T1_1
Type 2,49402.000000,0.000000, MarkKh,R5_T2h_0
,49301.410761,-13956.185343, MarkKh,R5_T2h_1
,49301.410761,13956.185343, MarkKh,R5_T2h_2
,-51652.000000,0.000000, MarkKh,R5_T2h_3
,-51775.870492,14656.652492, MarkKh,R5_T2h_4
,-51775.870492,-14656.652492, MarkKh,R5_T2h_5
Type 2,41587.311113,-47138.662849, MarkKv,R5_T2v_0
,41500.476329,48891.464097, MarkKv,R5_T2v_1
,-38237.481570,43341.675709, MarkKv,R5_T2v_2
,-38019.565095,-44790.623294, MarkKv,R5_T2v_3
Type 3,48900.785472,-31149.986305, MarkI,R5_T3_0
,48337.151989,-45396.943846, MarkI,R5_T3_1
,48659.028311,37923.206310, MarkI,R5_T3_2
,-52100.902367,-27898.837325, MarkI,R5_T3_3
,-52605.708972,-40658.828515, MarkI,R5_T3_4
,-52317.427140,33965.130943, MarkI,R5_T3_5
Type 4,48207.844714,-47311.428591, MarkF,R5_T4_0
,48107.039674,49328.728671, MarkF,R5_T4_1
,-52748.466035,-44333.678148, MarkF,R5_T4_2
,-52647.546952,42316.175935, MarkF,R5_T4_3
HPK1,47874.328170,-47324.068646, MarkM,R5_H1_0
,47774.140191,49328.080609, MarkM,R5_H1_1
,-52417.181611,-44365.926797, MarkM,R5_H1_2
,-52316.875552,42361.712627, MarkM,R5_H1_3
HPK2,48044.284751,-47329.114104, MarkE,R5_H2_0
,47943.757285,49339.918594, MarkE,R5_H2_1
,-52587.149307,-44360.946040, MarkE,R5_H2_2
,-52486.503005,42349.939079, MarkE,R5_H2_3
HPK3,47199.492556,-47304.196589, MarkG,R5_H3_0
,47100.652216,49281.238201, MarkG,R5_H3_1
,-51742.318294,-44385.864700, MarkG,R5_H3_2
,-51643.362813,42408.621916, MarkG,R5_H3_3
HPK4,-12268.625946,-45550.158482, MarkE,R5_H4_0
,-12248.633593,45150.508171, MarkE,R5_H4_1
HPK5,-11473.801134,-45573.602187, MarkH,R5_H5_0
,-11455.398011,45205.717631, MarkH,R5_H5_1
,-13063.451056,-45526.714768, MarkH,R5_H5_2
,-13041.869445,45095.298692, MarkH,R5_H5_3
